0FB2 0F80 0062 ; 0F76 0F71 0334
0F77 0021 ; 0FB2 0F71 0F80 0021
0F77 003F ; 0FB2 0F71 0F80 003F
0F77 0061 ; 0FB2 0F71 0F80 0061
0F77 0041 ; 0FB2 0F71 0F80 0041
0F77 0062 ; 0FB2 0F71 0F80 0062
0FB3 0F80 0062 ; 0F78 0F71 0334
0F79 0021 ; 0FB3 0F71 0F80 0021
0F79 003F ; 0FB3 0F71 0F80 003F
0F79 0061 ; 0FB3 0F71 0F80 0061
0F79 0041 ; 0FB3 0F71 0F80 0041
0F79 0062 ; 0FB3 0F71 0F80 0062
0378 0062 ; D800 0021
D800 0062 ; D801 0021
D801 0062 ; D802 0021
D802 0062 ; D803 0021
D803 0062 ; DC00 0021
DC00 0062 ; DFFF 0021
DFFF 0062 ; E000 00211
2A6E0 0062 ; 2B739 0021
